id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
88,p4_23.png,L4,233.00,14.2,1.064899452,17.03062826,17.02378428,17.42469982,18.9,209.2327276,1.113592518,20231,6834,2.960345332,0.6248,0.5745,1.087554395
89,p4_24.png,L4,73.73,6.5,1.096683028,23.73823432,23.73011899,24.35940589,17.3,33.03674647,2.231757297,60793,30190,2.013680026,0.5998,0.5015,1.196011964
90,p4_25.png,L4,271.00,15.9,1.062328499,16.48805435,16.48131321,16.86375594,19.4,264.2939717,1.025373368,28764,5767.6,4.987169707,0.6708,0.5228,1.283091048
91,p4_26.png,L4,152.08,10.8,1.076443941,19.46697733,19.45967157,19.94353658,7.9,-1002.114643,-0.1517590837,48917,18405,2.657810378,0.6264,0.5374,1.165612207
92,p4_27.png,L4,171.57,12.61,1.079328133,20.07565716,20.06823603,20.57282453,18.3,143.1592347,1.198455694,17862,5880,3.037755102,0.5628,0.5307,1.06048615
93,p4_28.png,L4,73.97,6.8,1.101235671,24.69902394,24.69072651,25.35272506,17.4,44.04899529,1.679266451,58147,20214,2.876570694,0.6154,0.6,1.025666667
94,p4_29.png,L4,139.28,9.8,1.075687365,19.30730948,19.30003398,19.77846284,18.2,132.1469859,1.05397788,54451,18070,3.013337023,0.6525,0.4995,1.306306306
95,p4_30.png,L4,176.41,10.02,1.060219965,16.04306944,16.03641264,16.40370514,18.6,176.1959812,1.001214664,31359,11511,2.724263748,0.6002,0.5125,1.171121951
96,p4_31.png,L4,126.65,9.66,1.08257116,20.76006559,20.75251474,21.28040504,18.1,121.134737,1.045529987,53420,18525,2.883670715,0.6035,0.5701,1.058586213
97,p4_32.png,L4,201.28,13.31,1.070809172,18.27781559,18.27073522,18.71411328,18.7,187.20823,1.075166407,50684,14807,3.42297562,0.6237,0.5849,1.066336126
98,p4_33.png,L4,100.43,7.8,1.084205981,21.10507818,21.09746195,21.63709876,17.8,88.09799058,1.139980598,55277,17395,3.177752228,0.6174,0.5823,1.060278207
99,p4_34.png,L4,62.10,3.8,1.065180103,17.08985692,17.08300172,17.48593379,17.5,55.06124411,1.127835032,48077,19790,2.429358262,0.6277,0.464,1.352801724
100,p4_35.png,L4,178.09,9.11,1.053911706,14.71177433,14.70536987,15.02733625,18.5,165.1837323,1.078132801,51915,12721,4.081047087,0.5898,0.5493,1.073730202
101,p4_36.png,L4,73.73,3.9,1.055849921,15.12081538,15.11433338,15.45022624,17.6,66.07349293,1.115878649,63084,30867,2.043736029,0.6474,0.4383,1.4770705
102,p4_37.png,L4,116.17,9.4,1.088039712,21.91414872,21.90637913,22.47356207,17.7,77.08574176,1.507023184,57517,16507,3.484400557,0.6398,0.5816,1.100068776
103,p4_38.png,L4,114.48,9.7,1.092574919,22.87125888,22.86330788,23.46307719,17.6,66.07349293,1.732616136,42476,14513,2.926755323,0.5207,0.4875,1.068102564
104,p4_39.png,L4,106.83,10.5,1.109000311,26.33767372,26.32906571,27.04685475,17.5,55.06124411,1.940203163,47387,17514,2.70566404,0.6224,0.5494,1.132872224
105,p4_40.png,L4,114.21,8.8,1.08348354,20.95261438,20.94502704,21.47947297,18.2,132.1469859,0.8642648884,51232,17735,2.888751057,0.5533,0.4553,1.215242697
106,p4_41.png,L4,131.62,14.3,1.121888851,29.05767112,29.04854756,29.85894333,18.2,132.1469859,0.9960121234,38200,10555,3.619137849,0.6087,0.5948,1.0233692
107,p4_42.png,L4,158.73,12.6,1.086224595,21.53108643,21.52338945,22.0775304,18.4,154.1714835,1.029567832,52656,22761,2.313430869,0.6178,0.5265,1.173409307
108,p4_43.png,L4,200.28,13.5,1.072277546,18.58770126,18.58056216,19.03449078,18.7,187.20823,1.069824762,51114,14637,3.492109039,0.5789,0.5283,1.095778913
109,p4_44.png,L4,105.26,7.6,1.077821012,19.7575943,19.75023346,20.243993,17.9,99.1102394,1.0620497,43696,16444,2.657261007,0.5668,0.5392,1.051186944
110,p4_45.png,L4,184.84,13,1.075651769,19.29979735,19.29252328,19.77069637,18.5,165.1837323,1.118996389,45297,14498,3.124361981,0.6096,0.5355,1.13837535
111,p4_46.png,L4,106.26,8.4,1.08583691,21.44926946,21.44158798,21.99294335,17.9,99.1102394,1.072139475,61180,17858,3.425915556,0.6414,0.514,1.247859922
112,p4_47.png,L4,80.48,6.6,1.089334055,22.18730701,22.17948565,22.75596871,17.6,66.07349293,1.218037619,60296,31014,1.944154253,0.6297,0.4584,1.373691099
113,p4_48.png,L4,79.54,7.1,1.098012148,24.01873171,24.01056322,24.64940011,17.8,88.09799058,0.9028582772,42437,17595,2.411878375,0.6039,0.5039,1.198452074
114,p4_49.png,L4,230.00,15.6,1.072761194,18.68977039,18.68261194,19.14001567,19,220.2449764,1.044291696,54502,15451,3.527409229,0.5952,0.4866,1.223181258
115,p4_50.png,L4,84.19,7.1,1.092100143,22.77106211,22.76313011,23.35948805,17.7,77.08574176,1.092160471,47449,20446,2.320698425,0.5374,0.4837,1.111019227
116,p4_51.png,L4,238.00,16.1,1.072555205,18.64629847,18.63914826,19.09507192,18.9,209.2327276,1.137489353,65393,28297,2.310951691,0.584,0.5348,1.091997008
117,p4_52.png,L4,127.29,12,1.10408535,25.30042026,25.29200885,25.9744829,18,110.1224882,1.155894696,52236,15765,3.313415794,0.5708,0.5528,1.032561505
